Id,SalePrice
1461,125719.98390981555
1462,157733.3867538767
1463,189210.29885302734
1464,193435.25001990102
1465,186565.45550251805
1466,176574.7601668684
1467,173888.37977799453
1468,170156.20157629898
1469,182662.07478456385
1470,126187.947529257
1471,201502.1056562421
1472,93028.42016077891
1473,96814.44614855936
1474,148909.42459815554
1475,120068.29140458693
1476,360093.93984857603
1477,254175.2935364733
1478,281316.2141792087
1479,262590.05087397597
1480,474821.830892122
1481,325686.2532800422
1482,204781.64013852825
1483,174372.730112926
1484,163125.4858308627
1485,176767.61651737703
1486,196899.89392981547
1487,335420.9105426528
1488,234982.19738304697
1489,199927.6691022496
1490,222456.56789460365
1491,190474.6202469806
1492,93115.23822045214
1493,175914.77946325217
1494,289380.2771473136
1495,287654.73996798065
1496,234348.55736866975
1497,183904.52056027338
1498,160357.7016892164
1499,156989.877074357
1500,153237.9773194539
1501,175726.24462153408
1502,150218.08513720823
1503,304597.2820168359
1504,239295.5329768965
1505,224074.4009240481
1506,187820.1049872358
1507,240503.20567710712
1508,200722.96858861262
1509,164412.89493347064
1510,148779.74623298048
1511,144782.90194587957
1512,172828.98907705885
1513,139141.50924607058
1514,157374.57602896297
1515,189177.74399880934
1516,152731.67366777308
1517,156936.90803282568
1518,131078.3682265057
1519,221849.51560407085
1520,134155.98574763187
1521,134644.97618513793
1522,167987.96670195862
1523,113540.7567551027
1524,125763.8216248024
1525,122806.4235740856
1526,121487.43777685091
1527,102412.16480466022
1528,132071.85878764978
1529,145331.2301381895
1530,169765.68368363148
1531,110963.87948154664
1532,103479.62359458729
1533,145590.5097001326
1534,119341.8839696086
1535,152179.55512473936
1536,110017.77126267718
1537,66375.5918120519
1538,159934.41014577207
1539,190575.80733196906
1540,102916.98400397769
1541,143347.69451568907
1542,142268.37708776622
1543,214268.60356816542
1544,81164.29913355086
1545,108846.70113739153
1546,129335.73131395233
1547,135452.27633660438
1548,132277.4565657167
1549,109733.22902830664
1550,136594.6083922701
1551,116083.1335561488
1552,126462.35056940105
1553,144148.64420935226
